Environment;Object;Role Index;Role;Privilege Index;Privilege;Value
devinternal;Experiment Privileges;11;Gxp Recipe Builder;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;11;Gxp Recipe Builder;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;11;Gxp Recipe Builder;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;11;Gxp Recipe Builder;12;Approve Experiments;0
devinternal;Experiment Privileges;12;GxP Std User;1;Share;0
devinternal;Experiment Privileges;12;GxP Std User;2;Share Templates;0
devinternal;Experiment Privileges;12;GxP Std User;3;Move Experiments;1
devinternal;Experiment Privileges;12;GxP Std User;4;Trash Experiments;0
devinternal;Experiment Privileges;12;GxP Std User;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;12;GxP Std User;6;Sign and Add ReviewersExperiments;1
devinternal;Experiment Privileges;12;GxP Std User;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;12;GxP Std User;8;Void Experiments;1
devinternal;Experiment Privileges;12;GxP Std User;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;12;GxP Std User;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;12;GxP Std User;11;Two Stage Review Experiments;1
devinternal;Experiment Privileges;12;GxP Std User;12;Approve Experiments;0
devinternal;Experiment Privileges;13;GxP Superuser;1;Share;1
devinternal;Experiment Privileges;13;GxP Superuser;2;Share Templates;1
devinternal;Experiment Privileges;13;GxP Superuser;3;Move Experiments;0
devinternal;Experiment Privileges;13;GxP Superuser;4;Trash Experiments;0
devinternal;Experiment Privileges;13;GxP Superuser;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;13;GxP Superuser;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;13;GxP Superuser;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;13;GxP Superuser;8;Void Experiments;0
devinternal;Experiment Privileges;13;GxP Superuser;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;13;GxP Superuser;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;13;GxP Superuser;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;13;GxP Superuser;12;Approve Experiments;0
devinternal;Experiment Privileges;14;Gxp-Active Directory Sync Test Role;1;Share;0
devinternal;Experiment Privileges;14;Gxp-Active Directory Sync Test Role;2;Share Templates;0
devinternal;Experiment Privileges;14;Gxp-Active Directory Sync Test Role;3;Move Experiments;0
devinternal;Experiment Privileges;14;Gxp-Active Directory Sync Test Role;4;Trash Experiments;0
devinternal;Experiment Privileges;14;Gxp-Active Directory Sync Test Role;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;14;Gxp-Active Directory Sync Test Role;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;14;Gxp-Active Directory Sync Test Role;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;14;Gxp-Active Directory Sync Test Role;8;Void Experiments;0
devinternal;Experiment Privileges;14;Gxp-Active Directory Sync Test Role;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;14;Gxp-Active Directory Sync Test Role;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;14;Gxp-Active Directory Sync Test Role;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;14;Gxp-Active Directory Sync Test Role;12;Approve Experiments;0
devinternal;Experiment Privileges;15;HELM User;1;Share;0
devinternal;Experiment Privileges;15;HELM User;2;Share Templates;0
devinternal;Experiment Privileges;15;HELM User;3;Move Experiments;0
devinternal;Experiment Privileges;15;HELM User;4;Trash Experiments;0
devinternal;Experiment Privileges;15;HELM User;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;15;HELM User;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;15;HELM User;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;15;HELM User;8;Void Experiments;0
devinternal;Experiment Privileges;15;HELM User;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;15;HELM User;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;15;HELM User;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;15;HELM User;12;Approve Experiments;0
devinternal;Experiment Privileges;16;Janssen Internal User;1;Share;0
devinternal;Experiment Privileges;16;Janssen Internal User;2;Share Templates;0
devinternal;Experiment Privileges;16;Janssen Internal User;3;Move Experiments;1
devinternal;Experiment Privileges;16;Janssen Internal User;4;Trash Experiments;0
devinternal;Experiment Privileges;16;Janssen Internal User;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;16;Janssen Internal User;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;16;Janssen Internal User;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;16;Janssen Internal User;8;Void Experiments;0
devinternal;Experiment Privileges;16;Janssen Internal User;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;16;Janssen Internal User;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;16;Janssen Internal User;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;16;Janssen Internal User;12;Approve Experiments;0
devinternal;Experiment Privileges;17;LAC User;1;Share;0
devinternal;Experiment Privileges;17;LAC User;2;Share Templates;0
devinternal;Experiment Privileges;17;LAC User;3;Move Experiments;0
devinternal;Experiment Privileges;17;LAC User;4;Trash Experiments;0
devinternal;Experiment Privileges;17;LAC User;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;17;LAC User;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;17;LAC User;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;17;LAC User;8;Void Experiments;0
devinternal;Experiment Privileges;17;LAC User;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;17;LAC User;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;17;LAC User;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;17;LAC User;12;Approve Experiments;0
devinternal;Experiment Privileges;18;ML Key User;1;Share;0
devinternal;Experiment Privileges;18;ML Key User;2;Share Templates;0
devinternal;Experiment Privileges;18;ML Key User;3;Move Experiments;0
devinternal;Experiment Privileges;18;ML Key User;4;Trash Experiments;0
devinternal;Experiment Privileges;18;ML Key User;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;18;ML Key User;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;18;ML Key User;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;18;ML Key User;8;Void Experiments;0
devinternal;Experiment Privileges;18;ML Key User;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;18;ML Key User;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;18;ML Key User;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;18;ML Key User;12;Approve Experiments;0
devinternal;Experiment Privileges;19;Non-GxP Standard User;1;Share;0
devinternal;Experiment Privileges;19;Non-GxP Standard User;2;Share Templates;0
devinternal;Experiment Privileges;19;Non-GxP Standard User;3;Move Experiments;1
devinternal;Experiment Privileges;19;Non-GxP Standard User;4;Trash Experiments;0
devinternal;Experiment Privileges;19;Non-GxP Standard User;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;19;Non-GxP Standard User;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;19;Non-GxP Standard User;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;19;Non-GxP Standard User;8;Void Experiments;0
devinternal;Experiment Privileges;19;Non-GxP Standard User;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;19;Non-GxP Standard User;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;19;Non-GxP Standard User;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;19;Non-GxP Standard User;12;Approve Experiments;0
devinternal;Experiment Privileges;20;PMP test;1;Share;0
devinternal;Experiment Privileges;20;PMP test;2;Share Templates;0
devinternal;Experiment Privileges;20;PMP test;3;Move Experiments;0
devinternal;Experiment Privileges;20;PMP test;4;Trash Experiments;0
devinternal;Experiment Privileges;20;PMP test;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;20;PMP test;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;20;PMP test;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;20;PMP test;8;Void Experiments;0
devinternal;Experiment Privileges;20;PMP test;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;20;PMP test;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;20;PMP test;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;20;PMP test;12;Approve Experiments;0
devinternal;Experiment Privileges;21;ReseachCenterManager;1;Share;0
devinternal;Experiment Privileges;21;ReseachCenterManager;2;Share Templates;0
devinternal;Experiment Privileges;21;ReseachCenterManager;3;Move Experiments;0
devinternal;Experiment Privileges;21;ReseachCenterManager;4;Trash Experiments;0
devinternal;Experiment Privileges;21;ReseachCenterManager;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;21;ReseachCenterManager;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;21;ReseachCenterManager;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;21;ReseachCenterManager;8;Void Experiments;0
devinternal;Experiment Privileges;21;ReseachCenterManager;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;21;ReseachCenterManager;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;21;ReseachCenterManager;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;21;ReseachCenterManager;12;Approve Experiments;0
devinternal;Experiment Privileges;22;ResearchCenterUser;1;Share;0
devinternal;Experiment Privileges;22;ResearchCenterUser;2;Share Templates;0
devinternal;Experiment Privileges;22;ResearchCenterUser;3;Move Experiments;0
devinternal;Experiment Privileges;22;ResearchCenterUser;4;Trash Experiments;0
devinternal;Experiment Privileges;22;ResearchCenterUser;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;22;ResearchCenterUser;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;22;ResearchCenterUser;7;Sign and Keep Open Experiments;0
devinternal;Experiment Privileges;22;ResearchCenterUser;8;Void Experiments;0
devinternal;Experiment Privileges;22;ResearchCenterUser;9;Sign and Close Without WitnessingExperiments;0
devinternal;Experiment Privileges;22;ResearchCenterUser;10;Close Without SigningExperiments;0
devinternal;Experiment Privileges;22;ResearchCenterUser;11;Two Stage Review Experiments;0
devinternal;Experiment Privileges;22;ResearchCenterUser;12;Approve Experiments;0
devinternal;Experiment Privileges;23;ResearchCenterViewer;1;Share;0
devinternal;Experiment Privileges;23;ResearchCenterViewer;2;Share Templates;0
devinternal;Experiment Privileges;23;ResearchCenterViewer;3;Move Experiments;0
devinternal;Experiment Privileges;23;ResearchCenterViewer;4;Trash Experiments;0
devinternal;Experiment Privileges;23;ResearchCenterViewer;5;Add Reviewers and Keep OpenExperiments;0
devinternal;Experiment Privileges;23;ResearchCenterViewer;6;Sign and Add ReviewersExperiments;0
devinternal;Experiment Privileges;23;ResearchCenterViewer;7;Sign and Keep Open Experiments;0
